content,words,confidence,p_foreign,p_upper,p_cap,avg_length,label,sentiment,emphasis,amplitude,politeness,dirtiness,main_tense,negated,article_id,article_type,user_type,outcome
Paint Your Summer,3,1.333333333,0,0,100,5,neutral,0,1,0,0,0,present,FALSE,539977,Arts & Entertainment,2,1
Trouble for Abe,3,1.333333333,0,0,66.66666667,4.333333333,negative,3,1,0.333333333,0,0,present,FALSE,525282,Review & Outlook (Asia),2,0
Strike a Pose,3,1.25,0,0,66.66666667,3.666666667,neutral,2,1,0.166666667,0,0,present,FALSE,532798,Magazine - Editor's Letter,2,1
Get Me Rewrite,3,1.25,0,0,100,4,neutral,0,1,0,0,0,present,FALSE,519200,The Journal Editorial Report,2,0
Meet the New Met,4,1.25,0,0,75,3.25,neutral,0,1,0,0,0,present,FALSE,503791,NY Mets,1,1
Offer Increased for Berry Petroleum,5,1.2,0,0,80,6.2,neutral,3,1,0.2,0,0,present,FALSE,514000,Deals & Deal Makers,2,0
Work & Family Mailbox,4,1.1875,0,0,75,4.5,neutral,0,1,0,0,0,present,FALSE,533080,Life & Style,2,0
Push for Pet Prescriptions,4,1.1875,0,0,75,5.75,neutral,0,1,0,0,0,present,FALSE,532696,New York,1,1
PUNCH: Drink Love,3,1.1875,0,33.33333333,100,5,neutral,0,1,0,0,0,present,FALSE,515209,NY Food,2,0
Please Pass the Popcorn,4,1.1875,0,0,75,5,neutral,1,1,0.125,0.125,0,present,FALSE,524091,Food & Drink,2,0
Work & Family Mailbox,4,1.1875,0,0,75,4.5,neutral,0,1,0,0,0,present,FALSE,503463,Life & Style,2,0
"Enjoy Your Vacation, Already!",4,1.166666667,0,0,100,6.5,positive,5,1.5,0.333333333,0,0,present,FALSE,519123,Work & Family,2,1
Stay on Hold at Telecom Italia,6,1.166666667,0,0,66.66666667,4.166666667,neutral,0,1,0,0,0,present,FALSE,512480,Heard on the Street,1,1
Help Clients See Through an IPO,6,1.166666667,0,16.66666667,83.33333333,4.333333333,neutral,0,1,0,0,0,present,FALSE,517746,Journal Reports: Wealth Management,1,1
Stop With All the Triangle Talk,6,1.166666667,0,0,83.33333333,4.333333333,neutral,2,1,0.166666667,0,0,present,FALSE,519560,NY Knicks,2,1
Check Medical Record For False Diagnoses,6,1.166666667,0,0,100,5.833333333,neutral,0,1,0,0,0,present,FALSE,505062,Letters,1,1
Suit Against Armstrong to Proceed,5,1.16,0,0,80,5.8,neutral,0,1,0,0,0,present,FALSE,505774,U.S. News,2,0
End of the Swipe? Era of Chip Cards Arrives,4,1.15,0,0,50,3.5,neutral,0,1,0,0,0,present,FALSE,542235,Markets Main,2,1
Man Convicted in Porch Shooting,5,1.15,0,0,80,5.4,neutral,0,1,0,0,0,present,FALSE,531108,U.S. News,2,1
Request for Resources on Listening,5,1.15,0,0,60,6,neutral,0,1,0,0,0,present,FALSE,519128,Life & Style,2,0
Milk Prices Should Regulate Production,5,1.15,0,0,100,6.8,neutral,0,1,0,0,0,present,FALSE,517638,Letters,1,1
Meet Scandinavia's Answer to Richard Branson,7,1.142857143,0,0,71.42857143,5.571428571,neutral,0,1,0,0,0,present,FALSE,544170,Boss Talk,2,1
"Go Ahead, Have Cereal for Dinner",6,1.142857143,0,0,83.33333333,4.5,neutral,0,1,0,0,0,present,FALSE,540879,Food & Drink,1,1
Question Marks at Defensive End for Giants,7,1.142857143,0,0,71.42857143,5.142857143,neutral,0,1,0,0,0,present,FALSE,541022,NY Giants,1,1
Take Monday Off: The Best of Barcelona,7,1.125,0,0,85.71428571,4.571428571,positive,6,1,0.5625,0,0,present,FALSE,540131,Life & Style,1,1
Talk This Way: A Modern Manners Guide,7,1.125,0,14.28571429,85.71428571,4.428571429,neutral,0,1,0,0,0,present,FALSE,535174,NY Heard & Scene,2,1
Search Resumes for Flight 370 Wreckage,6,1.125,0,0,66.66666667,5.5,neutral,0,1,0,0,0,present,FALSE,519737,Asia News,1,1
"Please, Some Subtlety on Germany",5,1.125,0,0,80,5.6,neutral,2,1,0.166666667,0.166666667,0,present,FALSE,521419,Letters,2,0
Man Sets Self Alight in Berlin,6,1.125,0,0,83.33333333,4.166666667,neutral,0,1,0,0,0,present,FALSE,506445,General News,2,0
Bomb at Afghan Base Kills Coalition Soldier,7,1.114285714,0,0,85.71428571,5.285714286,negative,6,1,0.475714286,0,0,present,FALSE,536865,World News,1,1
Number Caught Entering U.S. Illegally Rises Again,7,1.114285714,0,14.28571429,85.71428571,6.142857143,neutral,0,1,0,0,0,present,FALSE,512430,Latin America News,1,1
Give Illinois Some Credit for Its Recent Pension Reform,9,1.111111111,0,0,88.88888889,5.222222222,neutral,0,1,0,0,0,present,FALSE,515232,Letters,2,1
Fear That Volcker Rule May Raise Municipal Borrowing Costs,9,1.111111111,0,0,100,5.555555556,neutral,3,1,0.222222222,0,0,present,FALSE,515328,Markets Main,2,0
Buy a 'Haunted' House? No Ghost of a Chance,4,1.107142857,0,0,75,4.75,neutral,2,1,0.285714286,0,0,present,FALSE,533726,Spread Sheet,2,1
Suit Challenges FAA's U.S. Drone Policy,7,1.107142857,0,28.57142857,71.42857143,4.857142857,neutral,0,1,0,0,0,present,FALSE,539386,U.S. News,1,1
"Leave a Job, Lose Your Data",6,1.107142857,0,0,83.33333333,3.666666667,neutral,1,1,0.142857143,0,0,present,FALSE,536945,Management,2,1
Unlock the Potential of Japan's Savings,7,1.107142857,0,0,57.14285714,4.857142857,neutral,0,1,0,0,0,present,FALSE,506761,Opinion Asia,1,1
Pop Act Ages and Ages Rises to the Next Stage,10,1.1,0,0,70,3.6,neutral,0,1,0,0,0,present,FALSE,538697,Music,2,0
Go for a Drive on the Shifting Sands,8,1.09375,0,0,50,3.625,neutral,0,1,0,0,0,present,FALSE,519927,Rumble Seat,1,1
Ask Encore: The Best Way to Draw Down an IRA,10,1.090909091,0,10,80,3.5,positive,9,1,0.818181818,0,0,present,FALSE,512735,Journal Reports: Retirement,1,0
Hold On...This Is a Playoff Team?,7,1.088888889,0,0,85.71428571,4,neutral,0,1.2,0,0,0,present,FALSE,514809,NY Giants,1,1
Forget the Alamo: San Antonio Gets a Makeover,8,1.083333333,0,0,75,4.75,neutral,1,1,0.111111111,0,0,present,FALSE,538106,Homes,1,0
Pop Stars and Sugar Plum Fairies,6,1.083333333,0,0,83.33333333,4.5,neutral,0,1,0,0,0,present,FALSE,516040,NY Heard & Scene,2,0
Kiss of Death: Alabama Picked to Win SEC,8,1.083333333,0,12.5,75,4.125,neutral,3,1,0.222222222,0,0,past,FALSE,525307,Heard on the Field,1,0
"Use of IDs Is Everywhere, but Is It Right for Voting?",11,1.076923077,0,0,72.72727273,3.909090909,neutral,0,1,0,0,0,present,FALSE,521105,Letters,1,0
Man Ordered Detained for Alleged Role in Nazi Death Camp,10,1.075,0,0,80,4.7,neutral,2,1,0.2,0,0,present,FALSE,505632,U.S. News,2,1
Concern Mounts in China's Air-Defense Zone,7,1.071428571,0,0,57.14285714,5.285714286,neutral,0,1,0,0,0,present,FALSE,535153,China News,2,0
"That's One Expensive Homer, Robbie",6,1.071428571,0,0,83.33333333,5,neutral,0,1,0,0,0,present,FALSE,521100,NY Sports,2,0
"Take a Number: Rangers, Devils Try to Avoid Olympic Letdown",10,1.0625,0,0,80,5,neutral,0,1,0,0,0,present,FALSE,519262,NY Sports,2,0
Man City Fined for Violating Financial Fair Play,8,1.0625,0,0,87.5,5.125,negative,3,1,0.25,0,0,past,FALSE,522400,Soccer,2,0
Pick Exotic Fruits for Drinks and Desserts,7,1.007142857,0,0,71.42857143,5.142857143,neutral,0,1,0,0,0,present,FALSE,519937,Food & Drink,2,0
Wal-Mart to Expand Sam's Clubs in China,8,1,0,0,50,4.125,neutral,0,1,0,0,0,present,FALSE,544171,Business,1,1
India Holds Rate Steady,4,1,0,0,100,5,neutral,0,1,0,0,0,present,FALSE,544183,Asia News,2,1
Dollar Bulls See Greenback Gaining Strength,6,1,0,0,100,6.333333333,positive,3,1,0.333333333,0,0,present,FALSE,544207,JR: Year End Review,2,1
Violin Memory Hits Sour Note,5,1,0,0,100,4.8,neutral,0,1,0,0,0,present,FALSE,544212,Business,1,1
Ryan to Seek Key House Job,6,1,0,0,83.33333333,3.5,neutral,0,1,0,0,0,present,FALSE,544214,General News,2,0
A Medicaid Bet in Wisconsin,5,1,0,20,60,4.6,neutral,0,1,0,0,0,present,FALSE,544201,Politics and Policy,1,1
The Risks of Being Rich on Social Media,8,1,0,0,75,4,negative,3,1,0.25,0,0,present,FALSE,544168,Weekend Investor,1,1
Jurors to Decide Fate of SAC's Steinberg,8,1,0,12.5,62.5,4.25,neutral,0,1,0,0,0,present,FALSE,544133,Markets Main,1,1
Telecom Italia's Board Appeal,5,1,0,0,80,5.2,neutral,0,1,0,0,0,present,FALSE,544154,Heard on the Street,1,1
GM Plans Job Cuts in South Korea,7,1,0,14.28571429,85.71428571,3.714285714,neutral,2,1,0.142857143,0,0,present,FALSE,544152,Business,2,0
Court to IRS: Pay Legal Fees,6,1,0,16.66666667,83.33333333,3.833333333,neutral,0,1,0,0,0,present,FALSE,544162,Weekend Investor,1,1
CFTC Poised to Export Swaps Rules,6,1,0,16.66666667,83.33333333,4.666666667,neutral,0,1,0,0,0,present,FALSE,544100,Markets Main,1,1
Volcker Rule Shows Wide Reach,5,1,0,0,100,5,neutral,0,1,0,0,0,present,FALSE,544125,Markets Main,1,1
Firms Aim to Control Web's Pipes,7,1,0,0,71.42857143,3.857142857,neutral,0,1,0,0,0,present,FALSE,544115,Technology,2,0
Amazon Wage Fight Spreads Beyond Germany,6,1,0,0,100,5.833333333,neutral,0,1,0,0,0,present,FALSE,544101,Business,1,1
"Tiny Apartments, Big Hopes for City Centers",7,1,0,0,85.71428571,5.285714286,neutral,3,1,0.25,0,0,present,FALSE,544126,U.S. News,2,1
Land Crunch Hits Builders in 'Brady Bunch' Country,8,1,0,0,87.5,5.375,neutral,0,1,0,0,0,present,FALSE,544137,U.S. News,1,1
Batista's Adventure in Semiconductors,5,1,0,0,60,6.8,neutral,0,1,0,0,0,present,FALSE,544096,Business,1,0
Rebels Take War to Homes of Assad's Allies,9,1,0,0,66.66666667,3.888888889,neutral,0,1,0,0,0,present,FALSE,544102,Middle East News,2,0
"GM Leads, Wall Street Lags, On Women's Roles",9,1,0,11.11111111,88.88888889,4.111111111,negative,4,1,0.363636364,0,0,present,FALSE,544135,Current Account,1,1
Airbus to Buy Titanium Parts from Alcoa,7,1,0,0,71.42857143,4.714285714,neutral,0,1,0,0,0,present,FALSE,544083,European Business News,2,0
Australian Regional Airline Goes Under,5,1,0,0,100,6.8,neutral,0,1,0,0,0,present,FALSE,544086,Asian Business News,2,1
Kerry Visits Vietnam to Boost Ties,6,1,0,0,83.33333333,4.833333333,neutral,0,1,0,0,0,present,FALSE,544056,Asia News,2,0
Libya Militia to Keep Oil Ports Closed,7,1,0,0,85.71428571,4.571428571,neutral,0,1,0,0,0,present,FALSE,544098,Middle East News,1,0
Mandela's Former Wives Look to Each Other,8,1,0,0,75,4.375,neutral,0,1,0,0,0,present,FALSE,544042,Africa News,2,0
Notable & Quotable,3,1,0,0,66.66666667,5.333333333,neutral,0,1,0,0,0,present,FALSE,542889,Notable & Quotable,2,1
Notable & Quotable,3,1,0,0,66.66666667,5.333333333,neutral,0,1,0,0,0,present,FALSE,542872,Notable & Quotable,1,1
Notable & Quotable,3,1,0,0,66.66666667,5.333333333,neutral,0,1,0,0,0,present,FALSE,542902,Notable & Quotable,1,0
Christie Lawyers Are Paid Millions,5,1,0,0,100,6,negative,5,1,0.2,0,0,present,FALSE,542865,NY Region,1,1
Yen Rises Against Dollar on Violence in Ukraine,8,1,0,0,75,5,neutral,0,1,0,0,0,present,FALSE,542846,Foreign Exchange,2,1
Technology Could Help VA Patients,5,1,0,20,100,5.8,neutral,0,1,0,0,0,present,FALSE,542834,Letters,1,1
Hollywood Is Working Hard to Make You Cry,8,1,0,0,87.5,4.25,neutral,0,1,0,0,0,present,FALSE,542840,Arts &amp; Entertainment,1,0
"Donna Karan, Eat Your Heart Out",6,1,0,0,100,4.333333333,neutral,0,1,0,0,0,present,FALSE,542832,NY Culture,2,0
Time to Buy the Farm?,5,1,0,0,60,3.4,neutral,0,1,0,0,0,present,FALSE,542825,Journal Reports: Wealth Management,2,0
